ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
Teii_Vbf;1242;Administrative region;Guba, Ethiopia;11.26953,35.28763;;;Aychichiniya Abultu kebele in Guba district in Metekel zone in Binshangul Gumuz regional state.
cLnRd6EJ;1244;Exact location;Abobo, Ethiopia;7.90555,34.25329;;;"Pierbengo and Pukedi Kebeles, Abobo district, western region of Gambela Regional State.

Shapefile added from Google earth pro"
lHajRc7F;1274;Administrative region;Somali, Ethiopia;6.66123,43.79085;;Gad kebele, Shinile District, Shinile Zone, Somali Regional State, Ethiopia.;Situated in Gad kebele,Shinile Zone, near Dire Dawa.
r32nuY8n;1297;Exact location;Beltu, Ethiopia;7.850186,40.987988;;;Beltu, Bale Zone, Oromia regional state
Amh9FYFk;1303;Administrative region;Godere, Ethiopia;7.31874,35.12688;;;Gambela regional state, Mezhenger zone, Godere weredas, Gumare&Kabu districts
RbVSGqzN;1304;Administrative region;Dangur, Ethiopia;11.75,36.18333;;;Benshangul Gumuz regional state, Metekel zone, Dangur&Guba districts
hkFHpnk_;1304;Administrative region;Guba, Ethiopia;11.26953,35.28763;;;Situated in Guba Ethiopia
V-sMV4gn;1322;Coordinates;Yeji, Ghana;8.24713,-0.71793;;;Brong-Ahafo province,  Pru district. In three plots close together- Kwaese plot 1 171ha, plot 2 kadue 813ha, plot 3 gentydua 5766ha.
Y8fp1Wf4;1337;Administrative region;Sege, Ghana;5.88276,0.36071;;;"Site near Sege and Old Ningo
150 ha test farm, where Jatropha hedges in various lay outs are tested in combination with a large number of locally adaptable food crops; in 2010 a small poultry farm was added primarily using local methods."
Cj9sGy-S;1337;Administrative region;Gomoa, Ghana;5.43543,-0.71527;;;Cocoa nursery with 20,000 plants planned to be established in the fall of 2012. Transplanting will take place at the start of the rainy season in 2013.
s_YS6-X2;1338;Coordinates;Buipe, Ghana;8.65319,-1.51883;;Paragon Farms, N10 (5 miles south of Buipe), Kadelso.;"In the village of Kadelso. Location coordinates from Ghana data campaign.
Jatropha plantations would be established in the Brong-Ahafo and Northern Regions."
P2pvZJ4V;1374;Coordinates;Yala Swamp, Kenya;0.01202,34.14894; Lake Agro Limited;Lake Agro offices within the plantation;Production area digitized from NICFI imagery of Jan 2025.  Contract Area digitized from National Land Commission Determination, pg 6
aky4zZWN;1467;Coordinates;Canal du Sahel, Mali;13.79797,-6.14078;N'Sukula;;"Office du Niger,  Séribala and Dougabougou

Spatial data derived from the Mapathon 2020
The size of the shapefile is 7794 ha"
oCs-5z8W;1538;Administrative region;Quelimane, Mozambique;-17.87639,36.88722;;;Zambezia Province, Quelimane
Re2VEChx;1565;Administrative region;Moamba, Mozambique;-25.45071,32.24762;Horta Boa;;"Area in operation polygon shapefile uploaded from Google Earth Pro.
"
FCQOSFtn;1572;Exact location;Lioma, Mozambique;-15.20172,36.69647;;;Zambezia Province, Gurue District, Lioma, Tetete, Magige. Ruace-Tetete.
ZYIERK_t;1652;Coordinates;Naute, Namibia;-26.93354,17.9219;;;"Karas Region in southern Namibia. 55 kilometres south west of Keetmanshoop City
Area in operation polygon added from Google Earth Pro"
2_k9QIwj;1683;Exact location;Shonga, Nigeria;8.943762,5.1693;;;"Shonga, Edu LGA (Edu Local Government Area (LGA) consisting of Lafiaji, Sharayi and Shonga
Shonga is located at about 110 kilometres (68 miles) north of Ilorin, the Kwara State capital. The area lies in the Guinea Savannah along the bank of the River Niger."
AnbXuhAr;1684;Coordinates;Nasarawa, Nigeria;7.88687,8.31434;;;"Ondorie area of Doma Local Government Area of Nasarawa State. Located on the banks of River Benue, 265 kilometres off the Federal Capital Territory (FCT), Abuja, and approximately 150 kilometres off Lafia.

Spatial data derived from the Mapathon 2020."
54c6goO5;1685;Administrative region;Bode Sadu, Nigeria;8.94074,4.7821;;;Fallah, Moro LGA, Kwara State
Kj8MKuw-;1695;Administrative region;Patigi, Ebba, Nigeria;9.23333,6.26667;;;Located in Nidanaku, Patigi LGA
pJnM8Iv6;1696;Administrative region;Patigi, Ebba, Nigeria;9.23333,6.26667;;;Echi-Wada Patigi LGA (Local Government Area)
y-rl7DYu;1696;Administrative region;Fage, Nigeria;9.827,5.34097;;;Akunyun/Faje, Asa LGA
FDrm6pSL;1721;Exact location;Berber, Sudan;18.20471,33.70706;;;
nYRZDn-H;1727;Administrative region;North Kurdufan, Sudan;13.83064,29.41793;;;The farm is located in Nile province,Sudan North Kurdufan
VKijlVrM;1777;Coordinates;Makhana, Senegal;16.0776,-16.35163;Grands Domaines du Sénégal;Grands Domaines du Sénégal (GDS), has blocks in 3 localities: Lampsar, Ndiawdoun, Mbarigo;According to the company's website, GDS operates an area of 304 ha in 3 localities : Mbarigo (234ha), Lampsar (40ha), Ndiawdoune(30ha) divided between 3 blocks.  But according to the spatial boundaries of the transaction we have 619,837 ha.
gf-olL3i;1796;Coordinates;Mbéraye, Sénégal;16.12317,-16.4019;SOCIÉTÉ DE TOMATES SÉCHÉES;Société des Tomates Séchées est un magasin de fruits et légumes situé sur Mberaye. Société des Tomates Séchées est située à proximité du village Lampsar.;"Saint-Louis , Diama, Mberaay

Spatial data derived from NLO Senegal."
xdwKffNA;1798;Coordinates;Gbanti, Sierra Leone;8.71371,-12.23565;;;"Makari Gbanti in Bombali district. Near the Rokel river. The company first considered Brazil, Mozambique and Ghana before settling on Sierra Leone.

Spatial data derived from the Mapathon 2020. Only processing facilities delineated."
92KyzqwH;1820;Exact location;Masimera, Sierra Leone;8.65499,-12.45042;;;
tcppFhnC;1827;Approximate location;MR9, Swaziland;-26.50369,31.34874;;;"located along the MR9 about 16 kilometers south of Mhlaleni intersection (PLOT 6 PEBBLES BLOCK NHLANGANO RD
SIDVOKODVO)."
M4CWeIs1;1872;Administrative region;Kigoma, Tanzania;-4.88333,29.63333;;100-hectare oil palm plantation 75km from Kigoma town. Another 4,258 hectares of land 150km from Kigoma;Situated at Kigoma Region, Basanza village
Klgk9G_T;1938;Exact location;Iringa, Tanzania;-7.99819,35.27454;;;Situated in Iringa, Tanzania
6QlgENJt;1963;Coordinates;Mubende, Uganda;0.62954,31.47263;;;"Located in the Mubende District,  about 200 km west of the capital, Kampala

Shapefile derived from Google Earth Satellite"
tZTS4n7M;1999;Coordinates;Yaligimba, Democratic Republic of the Congo;2.26005,22.89864;Yagilimba Plantation;The Yaligimba plantation is in the Equateur province of the DRC, 210 km West of Lokutu and approximately 1,320 km from Kinshasa. Situated close to the Itimbiri tributary to the Congo River, the nearest town, Bumba, is 60 km by road. Bumba has a population of approximately 107,000 and an airport with regular flights to Kinshasa and Kisangani.;"30,199 hectares. Yaligimba is made up of two estates (Nord and Sud) consisting of 46 concessions
Shapefile added from satellite imagery"
wNOC4ize;1999;Coordinates;Boteka, Democratic Republic of the Congo;-0.41267,19.09251;Boteka Plantation;Boteka is 110 km east of the town of Mbandaka, which has a population of approximately half a million people and an airport with regular flights to Kinshasa and other towns and cities in the DRC.;"13,542 hectares. Boteka consists of 31 concessions

Shapefile added from satellite imagery"
NtFBwY7h;1999;Coordinates;Lokutu, Democratic Republic of the Congo;1.14228,23.5437;Lokutu Plantation;Lokutu It is 1,530 km by river from Kinshasa, the Country’s capital city, and 210 km from Kisangani, the Country’s third largest city. Kisangani is an important trading hub in the North East of the DRC with a population of around 1 million people and an airport with regular flights to Kinshasa and other towns and cities in the DRC.;"63,560 hectares. Lokutu is made up of three estates (Lokutu, Mosite and Lokumete) consisting of eight concessions.
The company PHC/KKM2 Area 
Lokutu is located in the Province of Tshopo, Territory of Basoko,
ex-city Band
Shapefile added from satellite imagery"
08arSALp;2020;Administrative region;Lusaka, Zambia;-15.40819,28.28717;;;Located in thenorth west of Lusaka
WMYJ5fDY;2024;Coordinates;Choma, Zambia;-16.59331,27.16103;;;Buffalo Farms (21KM FROM CHOMA ON NAMWALA RD-- Farm 1630)(-16° 35.484', 26° 56.307') & Duba Farms (5KM OFF MOMBA FARM)(-16° 35.890', 27° 9.835')
e7LK23c8;2024;Administrative region;Kabwe, Zambia;-14.38343,28.39294;;;Mutuwila Farm (Farm 3278)
1g7mQk3S;2024;Administrative region;Kalomo, Zambia;-17.0351,26.48501;;;Kala Farms
5kipCYGI;2050;Coordinates;Victoria Falls, Zambia;-17.81045,25.62342;;;"Kalonga Estates is located on the banks of the mighty Zambezi river, just 30km from the Victoria Falls.

Spatial data derived from the Mapathon 2020. Area to the South possibly also part of the deal."
j9NEj8Ts;2053;Coordinates;Mkushi, Zambia;-13.72901,29.27077;;;Mkushi farm block
zjmj0xLV;2241;Coordinates;Agogo, Ghana;6.96769,-0.9603;;;"surrounding area of Agogo, Ashanti region
 Asante Akyim North district

Spatial data derived from satellite imagery."
10sgQZX-;2283;Exact location;Ocua, Mozambique;-13.668244,39.818935;Ouro Verde Farm;;"Sources indicate it to be Maurunga village/ocua in Chiure District, Cabo Delgado Province
Located in Chipemba; Mapupulu, Balma district, Capo Delgado. "
2sHb-PNg;2289;Administrative region;Cluny, Mauritius;-20.37072,57.60637;;;Located in Cluny, Mauritius
aeobRPdW;2293;Coordinates;Al Dabbah, Sudan;17.8769,30.88001;;;"""in the North"", 3 different projects
Located near White Nile State.
Shapefile uploaded from Google Earth Pro"
ESmHivmM;2335;Administrative region;Blue Nile, Sudan;11.58601,34.15319;;400 kilometres away from Khartoum;Agadi,  Blue Nile state
_5IR5fRd;2352;Coordinates;Abu Hibeira, Sudan;13.99714,32.46478;;;"Eastern Bank of White Nile
KSC production site is located approximately 270 KM south to Khartoum
Uploaded shapefile polygon"
H85Lr3Vz;2371;Coordinates;Saba, Sierra Leone;7.4358,-11.8423; Socfin Agricultural Company (SAC) ; Socfin Agricultural Company (SAC), Sahn, Malen chiefdom;Located in Southern District of Pujehun  (Malen Chiefdom
cnIk5O1h;3008;Coordinates;Tonkolili, Sierra Leone;8.6622,-12.01105;Magbass sugar company;;"Located in Tonkolili, Sierra Leone. One source states close to Mabum- but could see no production in that area.

Area in operation shapefile from Google Earth pro"
IG25qP-6;3023;Coordinates;Chimoio, Mozambique;-19.38322,33.24071;;;"Macs-In-Moz is located near Sussundenga, 40 kilometers from the city of Chimoio, capital of the province of Manica.
Shapefile Polygon from Google Earth Pro"
zZrLnT4o;3030;Administrative region;Mopeia, Mozambique;-17.98,35.715;;;Zambezia province
DMOzhu7o;3031;Exact location;Malanga, Mozambique;-13.47592,36.12602;;;"Malanga, Majune district , Niassa Province 
"
mTT0fFEi;3032;Administrative region;Mutarara, Mozambique;-17.44173,35.07459;;;Located in Mutarara, Tete
0F-xAhqZ;3037;Exact location;Gurue, Mozambique;-15.48207,37.09758;;Situated at an altitude of 1000m above sea level, the plantation runs three modern tea producing factories.;Cha de Magoma is located in the northern part of Mozambique. It is close to the town of Gúruè and not far from the Malawi border.
xLr5wHrq;3038;Exact location;Gurue, Mozambique;-15.48021,37.09923;;;Cha de Magoma is located in the northern part of Mozambique. It is close to the town of Gúruè and not far from the Malawi border.
iUxfqaWO;3041;Administrative region;Lioma, Mozambique;-15.17646,36.80618;;;Located in Lioma,  Gurue, Zambezia. Niuce-Tetete
dEA6PmvV;3126;Administrative region;Lusaka, Zambia;-15.40819,28.28717;;;Located in Lusaka, Zambia
2kxD8kjn;3154;Administrative region;Central Region, Uganda;0.25408,31.99281;;;Spread over 3 farms- central Uganda
saH5Tml8;3164;Administrative region;Morogoro, Tanzania;-6.8221,37.66116;;;Located in Morogoro, Tanzania
56AJDWaB;3170;Approximate location;Pathein Township, Myanmar (Burma);16.6333,94.48198;;;Maw Tin Estate (Mawdin), Ayerwaddy Division
X1L7Ck3G;3183;Administrative region;Niederkartlien, Georgia;41.47918,44.65605;;;Sartichala, Kvemo Kartli. In the southern Georgian region of Kvemo-Kartli, not far from the Georgian capital, Tbilisi
o6uoZQmc;3183;Approximate location;Sartichala, Грузия;41.70977,45.17288;;;
VwTGfAWo;3248;Administrative region;Virú, Peru;-8.43127,-78.77759;;;
Vd-zOpS_;3250;Administrative region;La Libertad, Peru;-8.14359,-78.47519;;;Chavimochic project
IWeOxtUR;3317;Exact location;Sumifru District Office, Compostela Valley, Compostela, Davao de Oro, Philippines;7.66229,126.07752;;In Davao de Oro (formerly Compostela Valley), Sumifru operates in more or less 2,200 hectares of banana plantation with nine packing plants. The location indicated here refers to the company's corporate office in the area, not the full extent of its plantation or packaging plants.;
MBi6oRli;3341;Administrative region;Abderafi, Ethiopia;13.75,36.5;;;Located in Abderafi, Ethiopia
KNXVj49R;3342;Administrative region;Oromia, Ethiopia;7.54604,40.63469;;;Situated in Oromia ,Ethiopia.
arFqt2ki;3346;Administrative region;Southern Nations, Nationalities, and People's Region, Ethiopia;6.51569,36.95411;;;Located in Southern Nations, Nationalities, and People's Region, Ethiopia
-tewVzJ1;3354;Administrative region;Gondar, Ethiopia;12.6,37.46667;;;located in Gondar ,Ethiopia
L6se6KrQ;3358;Administrative region;Southern Nations, Nationalities, and People's Region, Ethiopia;6.51569,36.95411;;;Situated at the Southern Nations, Nationalities, and People's Region, Ethiopia
RFQCAyop;3363;Administrative region;Tigray, Ethiopia;14.03233,38.31657;;;Humera district, Tigray region
W8nIdonQ;3368;Administrative region;Nghĩa Đàn, Nghệ An, Vietnam;19.40034,105.43024;;;
JRx6Ew-y;3370;Coordinates;Toba, Sanggau Regency, West Kalimantan, Indonesia;4.33389,97.14041;; Village of Teraju, Sub district of Toba, District of Sanggau, West Kaliman;
ZkiziHQH;3425;Administrative region;Gilo River, Ethiopia;8.12966,33.19854;;;Located Agnuwak zone, Goge district, Goge-Geberiele wedera, Gambella. 125km from Gambella.
GL_ratyx;3433;Coordinates;Reserve de Faune du Ndiael, Sadialé, Sénégal;16.31022,-15.94664;Les fermes de la Teranga (ex Senhuile);"Located at some 51 km from Saint-Louis
";The land is located on the peripheral zone of the Ndiael Nature Reserve in Saint Louis.
g3DDM1h_;3443;Exact location;Lichinga, Mozambique;-13.2813,35.3563;AC Matama Farm;;"The African Century Agriculture farm is located in Niassa province, northern Mozambique. The farm, AC Matama, is located close to the town of Lichinga.

Location from AC Matama website which is no longer working. 
"
-zVgXzRl;3470;Coordinates;Roveang district, Preah Vihear province;13.42303,105.30487;;;Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions
